ticket_id,priority,status,category,subject,description,created_date,resolved_date,assigned_to,created_at
TKT-100070,Low,Closed,Hardware,Password reset,Issue reported: Password reset,2023-01-31,2023-02-19,Alice,2023-01-31 00:00:00
TKT-100071,Critical,In Progress,Network,Application crash,Issue reported: Application crash,2021-08-05,,Diana,2021-08-05 00:00:00
TKT-100072,Low,In Progress,Access,Device not responding,Issue reported: Device not responding,2021-09-04,,Ethan,2021-09-04 00:00:00
TKT-100073,High,Resolved,Security,Security alert,Issue reported: Security alert,2023-08-17,2023-08-19,Fatima,2023-08-17 00:00:00
TKT-100074,Medium,Resolved,Network,Login issue,Issue reported: Login issue,2021-06-04,2021-06-05,Charlie,2021-06-04 00:00:00
TKT-100075,Medium,Resolved,Software,Application crash,Issue reported: Application crash,2023-12-13,2023-12-20,Julia,2023-12-13 00:00:00
TKT-100076,Critical,In Progress,Software,Access request,Issue reported: Access request,2022-04-09,,Ivan,2022-04-09 00:00:00
TKT-100077,High,In Progress,Network,Performance issue,Issue reported: Performance issue,2021-03-02,,Alice,2021-03-02 00:00:00
TKT-100078,Low,In Progress,Security,Device not responding,Issue reported: Device not responding,2024-02-03,,Charlie,2024-02-03 00:00:00
TKT-100079,High,Resolved,Network,Security alert,Issue reported: Security alert,2022-07-21,2022-08-06,Ivan,2022-07-21 00:00:00
TKT-100080,High,Closed,Network,Access request,Issue reported: Access request,2023-11-12,2023-11-30,Diana,2023-11-12 00:00:00
TKT-100081,Critical,Closed,Network,Login issue,Issue reported: Login issue,2021-01-03,2021-01-04,Charlie,2021-01-03 00:00:00
TKT-100082,Low,Open,Software,Network outage,Issue reported: Network outage,2022-10-13,,Ethan,2022-10-13 00:00:00
TKT-100083,High,Closed,Hardware,Network outage,Issue reported: Network outage,2023-12-12,2023-12-20,Ethan,2023-12-12 00:00:00
TKT-100084,Low,Closed,Access,Performance issue,Issue reported: Performance issue,2022-03-04,2022-03-07,Diana,2022-03-04 00:00:00
TKT-100085,Low,In Progress,Security,Application crash,Issue reported: Application crash,2020-05-18,,Alice,2020-05-18 00:00:00
TKT-100086,Low,Closed,Software,Access request,Issue reported: Access request,2022-01-17,2022-02-01,Diana,2022-01-17 00:00:00
TKT-100087,Low,In Progress,Access,Email malfunction,Issue reported: Email malfunction,2020-09-02,,Ethan,2020-09-02 00:00:00
TKT-100088,High,In Progress,Software,Login issue,Issue reported: Login issue,2020-03-24,,Julia,2020-03-24 00:00:00
TKT-100089,High,Resolved,Access,Email malfunction,Issue reported: Email malfunction,2021-06-06,2021-06-14,Ivan,2021-06-06 00:00:00
TKT-100090,Low,Open,Access,Access request,Issue reported: Access request,2023-07-29,,George,2023-07-29 00:00:00
TKT-100091,Critical,In Progress,Access,Email malfunction,Issue reported: Email malfunction,2020-05-14,,Julia,2020-05-14 00:00:00
TKT-100092,Medium,In Progress,Network,Device not responding,Issue reported: Device not responding,2022-10-02,,Fatima,2022-10-02 00:00:00
TKT-100093,Critical,Resolved,Software,Device not responding,Issue reported: Device not responding,2021-07-23,2021-08-11,Charlie,2021-07-23 00:00:00
TKT-100094,Low,In Progress,Security,Application crash,Issue reported: Application crash,2022-06-26,,Hannah,2022-06-26 00:00:00
TKT-100095,Low,In Progress,Software,System failure,Issue reported: System failure,2021-07-21,,Bob,2021-07-21 00:00:00
TKT-100096,Critical,Open,Access,Password reset,Issue reported: Password reset,2021-02-05,,Diana,2021-02-05 00:00:00
TKT-100097,Critical,Resolved,Network,Network outage,Issue reported: Network outage,2020-05-11,2020-05-14,Bob,2020-05-11 00:00:00
TKT-100098,Medium,Open,Software,Security alert,Issue reported: Security alert,2023-04-30,,Hannah,2023-04-30 00:00:00
TKT-100099,High,Closed,Software,Password reset,Issue reported: Password reset,2022-12-15,2022-12-18,Fatima,2022-12-15 00:00:00
TKT-100100,Medium,Resolved,Hardware,Login issue,Issue reported: Login issue,2021-08-13,2021-08-30,Bob,2021-08-13 00:00:00
TKT-100101,Critical,Open,Software,Device not responding,Issue reported: Device not responding,2024-06-17,,Ethan,2024-06-17 00:00:00
TKT-100102,Medium,Open,Access,Network outage,Issue reported: Network outage,2024-10-30,,Ivan,2024-10-30 00:00:00
TKT-100103,Medium,Open,Access,Password reset,Issue reported: Password reset,2020-08-21,,Ivan,2020-08-21 00:00:00
TKT-100104,Medium,Open,Network,Device not responding,Issue reported: Device not responding,2023-08-11,,Fatima,2023-08-11 00:00:00
TKT-100105,Medium,Closed,Hardware,Access request,Issue reported: Access request,2024-08-17,2024-08-26,Ivan,2024-08-17 00:00:00
TKT-100106,High,Closed,Network,Password reset,Issue reported: Password reset,2020-03-17,2020-03-29,Alice,2020-03-17 00:00:00
TKT-100107,Low,Resolved,Software,Access request,Issue reported: Access request,2022-01-21,2022-01-27,Ivan,2022-01-21 00:00:00
TKT-100108,High,Closed,Software,Access request,Issue reported: Access request,2022-10-31,2022-11-08,Diana,2022-10-31 00:00:00
TKT-100109,Low,Resolved,Security,Password reset,Issue reported: Password reset,2023-07-20,2023-07-26,Julia,2023-07-20 00:00:00
TKT-100110,Medium,Resolved,Access,Login issue,Issue reported: Login issue,2024-09-09,2024-09-26,Ethan,2024-09-09 00:00:00
TKT-100111,Low,In Progress,Software,Application crash,Issue reported: Application crash,2020-07-22,,George,2020-07-22 00:00:00
TKT-100112,High,Open,Access,System failure,Issue reported: System failure,2020-09-04,,Alice,2020-09-04 00:00:00
TKT-100113,High,In Progress,Hardware,Password reset,Issue reported: Password reset,2021-01-11,,Charlie,2021-01-11 00:00:00
TKT-100114,Low,Open,Network,System failure,Issue reported: System failure,2020-03-31,,Bob,2020-03-31 00:00:00
TKT-100115,Medium,In Progress,Software,Security alert,Issue reported: Security alert,2022-10-27,,Bob,2022-10-27 00:00:00
TKT-100116,Low,In Progress,Access,Device not responding,Issue reported: Device not responding,2023-03-03,,Ivan,2023-03-03 00:00:00
TKT-100117,Critical,Open,Network,Application crash,Issue reported: Application crash,2020-08-08,,Fatima,2020-08-08 00:00:00
TKT-100118,Critical,Closed,Network,Application crash,Issue reported: Application crash,2021-07-07,2021-07-15,George,2021-07-07 00:00:00
TKT-100119,Medium,Open,Security,Login issue,Issue reported: Login issue,2023-05-30,,Alice,2023-05-30 00:00:00
TKT-100120,Low,Resolved,Hardware,Login issue,Issue reported: Login issue,2022-11-13,2022-11-23,George,2022-11-13 00:00:00
TKT-100121,Medium,Resolved,Hardware,Application crash,Issue reported: Application crash,2024-08-26,2024-09-01,Ivan,2024-08-26 00:00:00
TKT-100122,High,Open,Access,Access request,Issue reported: Access request,2021-07-13,,Ethan,2021-07-13 00:00:00
TKT-100123,Low,Resolved,Software,Device not responding,Issue reported: Device not responding,2024-05-14,2024-05-29,Julia,2024-05-14 00:00:00
TKT-100124,High,Resolved,Access,Login issue,Issue reported: Login issue,2024-03-13,2024-03-22,Alice,2024-03-13 00:00:00
TKT-100125,Critical,Closed,Security,Network outage,Issue reported: Network outage,2022-03-21,2022-03-28,Fatima,2022-03-21 00:00:00
TKT-100126,High,Closed,Network,Application crash,Issue reported: Application crash,2020-09-12,2020-09-15,Fatima,2020-09-12 00:00:00
TKT-100127,Low,Resolved,Hardware,Security alert,Issue reported: Security alert,2020-04-27,2020-05-09,George,2020-04-27 00:00:00
TKT-100128,High,In Progress,Network,Performance issue,Issue reported: Performance issue,2020-01-28,,Bob,2020-01-28 00:00:00
TKT-100129,Medium,Open,Security,Password reset,Issue reported: Password reset,2021-11-02,,Fatima,2021-11-02 00:00:00
TKT-100130,High,In Progress,Software,Email malfunction,Issue reported: Email malfunction,2022-04-07,,Fatima,2022-04-07 00:00:00
TKT-100131,High,Open,Software,System failure,Issue reported: System failure,2021-02-27,,George,2021-02-27 00:00:00
TKT-100132,Low,Closed,Access,Access request,Issue reported: Access request,2023-11-14,2023-11-21,Bob,2023-11-14 00:00:00
TKT-100133,High,Resolved,Hardware,Application crash,Issue reported: Application crash,2021-02-05,2021-02-11,Fatima,2021-02-05 00:00:00
TKT-100134,Medium,Resolved,Hardware,Device not responding,Issue reported: Device not responding,2024-07-10,2024-07-24,Ethan,2024-07-10 00:00:00
TKT-100135,Low,Open,Software,Performance issue,Issue reported: Performance issue,2023-01-29,,Ivan,2023-01-29 00:00:00
TKT-100136,High,In Progress,Security,Performance issue,Issue reported: Performance issue,2020-03-27,,Julia,2020-03-27 00:00:00
TKT-100137,Low,Resolved,Access,Access request,Issue reported: Access request,2023-11-09,2023-11-12,Alice,2023-11-09 00:00:00
TKT-100138,High,Open,Access,System failure,Issue reported: System failure,2020-01-31,,Alice,2020-01-31 00:00:00
TKT-100139,High,In Progress,Network,Email malfunction,Issue reported: Email malfunction,2021-05-14,,Alice,2021-05-14 00:00:00
TKT-100140,Low,In Progress,Network,Password reset,Issue reported: Password reset,2024-07-09,,George,2024-07-09 00:00:00
TKT-100141,Critical,Closed,Security,Application crash,Issue reported: Application crash,2023-06-24,2023-07-01,Fatima,2023-06-24 00:00:00
TKT-100142,High,In Progress,Network,Login issue,Issue reported: Login issue,2021-03-16,,Fatima,2021-03-16 00:00:00
TKT-100143,Low,Resolved,Hardware,Access request,Issue reported: Access request,2021-07-26,2021-07-28,Diana,2021-07-26 00:00:00
TKT-100144,Medium,Open,Access,Email malfunction,Issue reported: Email malfunction,2020-08-20,,Fatima,2020-08-20 00:00:00
TKT-100145,High,In Progress,Software,Password reset,Issue reported: Password reset,2024-02-25,,Fatima,2024-02-25 00:00:00
TKT-100146,Critical,Closed,Hardware,Application crash,Issue reported: Application crash,2020-02-29,2020-03-02,Fatima,2020-02-29 00:00:00
TKT-100147,Low,Open,Access,Access request,Issue reported: Access request,2024-06-02,,Fatima,2024-06-02 00:00:00
TKT-100148,Low,In Progress,Security,Application crash,Issue reported: Application crash,2024-04-10,,Fatima,2024-04-10 00:00:00
TKT-100149,Critical,Resolved,Access,Performance issue,Issue reported: Performance issue,2024-06-18,2024-06-24,Diana,2024-06-18 00:00:00
TKT-100150,Medium,Open,Security,Email malfunction,Issue reported: Email malfunction,2023-06-07,,Bob,2023-06-07 00:00:00
TKT-100151,High,Open,Software,Security alert,Issue reported: Security alert,2023-06-08,,Ethan,2023-06-08 00:00:00
TKT-100152,Low,In Progress,Access,Email malfunction,Issue reported: Email malfunction,2022-06-25,,Hannah,2022-06-25 00:00:00
TKT-100153,Low,Resolved,Hardware,Device not responding,Issue reported: Device not responding,2024-07-07,2024-07-18,Ethan,2024-07-07 00:00:00
TKT-100154,Medium,Closed,Hardware,Password reset,Issue reported: Password reset,2023-06-01,2023-06-10,Charlie,2023-06-01 00:00:00
TKT-100155,Critical,Open,Access,Device not responding,Issue reported: Device not responding,2023-02-24,,George,2023-02-24 00:00:00
TKT-100156,Medium,Resolved,Security,Email malfunction,Issue reported: Email malfunction,2022-12-23,2022-12-26,Diana,2022-12-23 00:00:00
TKT-100157,Low,Resolved,Hardware,System failure,Issue reported: System failure,2021-03-11,2021-03-15,Charlie,2021-03-11 00:00:00
TKT-100158,High,Closed,Network,Application crash,Issue reported: Application crash,2021-04-18,2021-05-01,Ivan,2021-04-18 00:00:00
TKT-100159,Critical,In Progress,Network,Application crash,Issue reported: Application crash,2024-08-06,,Ethan,2024-08-06 00:00:00
TKT-100160,Low,Open,Software,Access request,Issue reported: Access request,2021-04-29,,Hannah,2021-04-29 00:00:00
TKT-100161,Medium,Open,Access,Performance issue,Issue reported: Performance issue,2022-09-15,,Hannah,2022-09-15 00:00:00
TKT-100162,Medium,Closed,Hardware,Access request,Issue reported: Access request,2021-07-16,2021-07-31,Charlie,2021-07-16 00:00:00
TKT-100163,Low,Open,Security,Network outage,Issue reported: Network outage,2020-03-25,,Charlie,2020-03-25 00:00:00
TKT-100164,Critical,Open,Hardware,Password reset,Issue reported: Password reset,2020-03-03,,Hannah,2020-03-03 00:00:00
TKT-100165,High,Resolved,Access,Login issue,Issue reported: Login issue,2020-03-21,2020-04-04,George,2020-03-21 00:00:00
TKT-100166,Critical,In Progress,Access,Device not responding,Issue reported: Device not responding,2023-07-28,,Fatima,2023-07-28 00:00:00
TKT-100167,High,Open,Software,Device not responding,Issue reported: Device not responding,2023-09-13,,Hannah,2023-09-13 00:00:00
TKT-100168,Low,In Progress,Software,Performance issue,Issue reported: Performance issue,2023-08-24,,Alice,2023-08-24 00:00:00
TKT-100169,Medium,Resolved,Access,Security alert,Issue reported: Security alert,2022-08-24,2022-08-26,Alice,2022-08-24 00:00:00
TKT-100170,Critical,Resolved,Hardware,System failure,Issue reported: System failure,2021-04-09,2021-04-26,Fatima,2021-04-09 00:00:00
TKT-100171,Low,In Progress,Hardware,Access request,Issue reported: Access request,2024-06-11,,Julia,2024-06-11 00:00:00
TKT-100172,High,Open,Software,Login issue,Issue reported: Login issue,2024-02-24,,George,2024-02-24 00:00:00
TKT-100173,High,Closed,Access,Device not responding,Issue reported: Device not responding,2021-12-15,2021-12-26,Charlie,2021-12-15 00:00:00
TKT-100174,Low,In Progress,Network,Login issue,Issue reported: Login issue,2021-09-27,,Ivan,2021-09-27 00:00:00
TKT-100175,Low,Closed,Software,Access request,Issue reported: Access request,2024-12-02,2024-12-22,Ethan,2024-12-02 00:00:00
TKT-100176,Medium,Open,Security,System failure,Issue reported: System failure,2024-08-05,,Bob,2024-08-05 00:00:00
TKT-100177,Medium,Closed,Hardware,Application crash,Issue reported: Application crash,2024-03-12,2024-03-31,Fatima,2024-03-12 00:00:00
TKT-100178,High,In Progress,Security,Access request,Issue reported: Access request,2020-04-02,,Fatima,2020-04-02 00:00:00
TKT-100179,Medium,Open,Software,Access request,Issue reported: Access request,2023-05-30,,Bob,2023-05-30 00:00:00
TKT-100180,Critical,Closed,Access,Application crash,Issue reported: Application crash,2021-07-16,2021-07-17,George,2021-07-16 00:00:00
TKT-100181,High,Closed,Access,Email malfunction,Issue reported: Email malfunction,2023-04-15,2023-04-17,Charlie,2023-04-15 00:00:00
TKT-100182,High,Closed,Hardware,Application crash,Issue reported: Application crash,2024-11-22,2024-11-30,George,2024-11-22 00:00:00
TKT-100183,High,Closed,Security,System failure,Issue reported: System failure,2021-01-29,2021-01-31,Diana,2021-01-29 00:00:00
TKT-100184,Low,Resolved,Software,Network outage,Issue reported: Network outage,2024-09-08,2024-09-12,Ivan,2024-09-08 00:00:00
TKT-100185,High,In Progress,Network,Performance issue,Issue reported: Performance issue,2020-02-18,,Ivan,2020-02-18 00:00:00
TKT-100186,Critical,Closed,Software,Email malfunction,Issue reported: Email malfunction,2021-08-02,2021-08-07,George,2021-08-02 00:00:00
TKT-100187,Critical,Open,Access,Password reset,Issue reported: Password reset,2021-05-30,,Hannah,2021-05-30 00:00:00
TKT-100188,High,Closed,Access,Application crash,Issue reported: Application crash,2022-12-08,2022-12-13,Alice,2022-12-08 00:00:00
TKT-100189,Critical,Open,Security,Login issue,Issue reported: Login issue,2022-04-16,,George,2022-04-16 00:00:00
TKT-100190,Critical,Closed,Security,Password reset,Issue reported: Password reset,2023-03-17,2023-03-26,George,2023-03-17 00:00:00
TKT-100191,Low,Resolved,Security,Network outage,Issue reported: Network outage,2021-09-25,2021-10-06,Diana,2021-09-25 00:00:00
TKT-100192,Low,Closed,Security,Email malfunction,Issue reported: Email malfunction,2022-05-12,2022-05-18,Ivan,2022-05-12 00:00:00
TKT-100193,Critical,Open,Access,Email malfunction,Issue reported: Email malfunction,2020-06-14,,Fatima,2020-06-14 00:00:00
TKT-100194,High,Open,Security,Security alert,Issue reported: Security alert,2024-08-02,,Fatima,2024-08-02 00:00:00
TKT-100195,High,Open,Network,Access request,Issue reported: Access request,2022-03-14,,Alice,2022-03-14 00:00:00
TKT-100196,Low,Resolved,Network,Email malfunction,Issue reported: Email malfunction,2021-01-03,2021-01-18,Hannah,2021-01-03 00:00:00
TKT-100197,Critical,In Progress,Software,Device not responding,Issue reported: Device not responding,2020-10-12,,Diana,2020-10-12 00:00:00
TKT-100198,Low,Open,Software,Access request,Issue reported: Access request,2023-08-16,,Alice,2023-08-16 00:00:00
TKT-100199,Medium,Closed,Hardware,Email malfunction,Issue reported: Email malfunction,2023-05-04,2023-05-11,Charlie,2023-05-04 00:00:00
TKT-100200,Medium,Closed,Hardware,Application crash,Issue reported: Application crash,2021-12-03,2021-12-18,Hannah,2021-12-03 00:00:00
TKT-100201,High,Resolved,Network,Device not responding,Issue reported: Device not responding,2020-04-23,2020-05-10,Charlie,2020-04-23 00:00:00
TKT-100202,Medium,Resolved,Access,System failure,Issue reported: System failure,2023-12-10,2023-12-17,George,2023-12-10 00:00:00
TKT-100203,High,Open,Network,Password reset,Issue reported: Password reset,2022-01-21,,Diana,2022-01-21 00:00:00
TKT-100204,High,Closed,Software,Security alert,Issue reported: Security alert,2020-05-26,2020-06-04,Charlie,2020-05-26 00:00:00
TKT-100205,Critical,Open,Security,Access request,Issue reported: Access request,2024-09-01,,Charlie,2024-09-01 00:00:00
TKT-100206,Critical,In Progress,Hardware,System failure,Issue reported: System failure,2021-03-24,,Julia,2021-03-24 00:00:00
TKT-100207,High,Open,Software,Performance issue,Issue reported: Performance issue,2022-09-23,,Diana,2022-09-23 00:00:00
TKT-100208,High,Open,Network,Security alert,Issue reported: Security alert,2020-12-08,,Hannah,2020-12-08 00:00:00
TKT-100209,Medium,Open,Security,Application crash,Issue reported: Application crash,2024-10-26,,Diana,2024-10-26 00:00:00
TKT-100210,Medium,Resolved,Network,System failure,Issue reported: System failure,2020-08-11,2020-08-13,Bob,2020-08-11 00:00:00
TKT-100211,Critical,Open,Security,Password reset,Issue reported: Password reset,2023-03-01,,Diana,2023-03-01 00:00:00
TKT-100212,Medium,Closed,Network,Password reset,Issue reported: Password reset,2021-11-11,2021-11-16,Ivan,2021-11-11 00:00:00
TKT-100213,Critical,In Progress,Network,Performance issue,Issue reported: Performance issue,2022-03-01,,Alice,2022-03-01 00:00:00
TKT-100214,High,Open,Access,Performance issue,Issue reported: Performance issue,2020-09-22,,Julia,2020-09-22 00:00:00
TKT-100215,Medium,Resolved,Software,Application crash,Issue reported: Application crash,2020-10-23,2020-10-27,Diana,2020-10-23 00:00:00
TKT-100216,Medium,Closed,Hardware,Performance issue,Issue reported: Performance issue,2023-08-25,2023-08-31,Bob,2023-08-25 00:00:00
TKT-100217,Critical,In Progress,Software,Password reset,Issue reported: Password reset,2024-02-21,,George,2024-02-21 00:00:00
TKT-100218,Critical,Closed,Access,Application crash,Issue reported: Application crash,2024-09-15,2024-09-19,Fatima,2024-09-15 00:00:00
TKT-100219,Critical,Open,Network,Device not responding,Issue reported: Device not responding,2021-12-05,,Julia,2021-12-05 00:00:00
TKT-100220,Low,Open,Security,Network outage,Issue reported: Network outage,2022-11-05,,Hannah,2022-11-05 00:00:00
TKT-100221,Low,In Progress,Software,Login issue,Issue reported: Login issue,2021-03-06,,Fatima,2021-03-06 00:00:00
TKT-100222,High,Closed,Hardware,Device not responding,Issue reported: Device not responding,2024-07-23,2024-07-24,Hannah,2024-07-23 00:00:00
